name,S_lat,S_lon,D_lat,D_lon
KUCH,1.6323993472274938,110.19509089740242,1.5843702380932316,110.30207249964607
KUKP,1.3332750844314094,103.45343325461384,1.319831862451362,103.3896899470926
KUNM,25.029539864626614,102.79719375445967,25.01143386259561,102.88973722068323
LABU,5.282671345533685,115.2447864066798,5.242590335023123,115.30430425155458
LGKW,6.328502511686791,99.8512632098503,6.087756072902435,99.51875593302687
LHAS,29.657339902352682,91.10398769207323,29.743343982654586,91.33194166066333
MARG,5.026600290634887,103.29455908775074,4.974108216836127,103.14062300253866
MERS,2.453467282608421,103.82875267596768,2.4281660024263436,103.74143445575777
MERU,3.138236742075827,101.40745743673689,3.030417917984772,101.10174799497555
MIRI,4.372101202958082,114.00174187003238,4.348833687932289,114.03878143256058
MKEA,19.80135201283133,-155.45633662016425,19.857189217913174,-155.56155320583056
NTUS,1.3458023800165184,103.67995585745413,1.304263815650568,103.80519148732057
ONSA,57.39529810898711,11.925515698034276,57.417087413569966,11.95869917533358
PEKN,3.4925974812389184,103.38969141542242,3.4456186455284423,103.266552128211
PERT,-31.80196888356758,115.88524832916158,-31.71523913840414,115.97515252702573
PHKT,8.104827592533669,98.3080250532019,8.09292483109053,98.37387747183112
PIMO,14.635719520139597,121.07773328639549,14.639582148578919,121.05235329673003
PUPK,4.20699397356342,100.55924389608651,3.984517438591104,100.21378510917646
RTPJ,6.00336306147416,101.99146666074775,5.928449781006335,101.8164561053667
RTSD,13.760308747532038,100.50741040218027,13.761544418653019,100.49226202185237
RYNG,12.764419356413613,101.03280022120698,12.75130835346363,101.10367925362807
SAMP,3.6216112934074225,98.71471825219027,3.630475917997355,98.75107564395415
SAND,5.8424045771927675,118.12058360720964,5.847531289580716,118.16435443950165
SEGA,2.486297495456256,102.7320416969729,2.4601460413429237,102.7378816974561
SELM,5.2171313750866295,100.69477960190824,5.055761665047746,100.4006152077315
SGPT,5.643577679271172,100.48837662615861,5.483216558888526,100.17618700622543
SHAO,31.099643288848313,121.20044228631184,31.069309702538874,121.25767722843091
TAWX,4.262774946117503,117.88164735136301,4.2191083340135265,117.90523471986585
TGPG,1.3674107841064829,104.10825970653958,1.4061115447026826,104.03414583594339
TIDB,-35.39920663287695,148.97999738774092,-35.327085955446826,149.02337914814711
TLOH,3.4494503252151114,102.41936600618905,3.3863869546894714,102.22395608860856
TNML,24.797954748303113,120.98734463326433,24.782384239864967,121.09404930147672
UMAS,1.468309817109137,110.42469823562242,1.4642886258402823,110.4366943144194
UMSS,6.039233087495469,116.11202985396304,5.986489905229356,116.16309211949002
UPMS,2.993395704278404,101.72351081088473,2.8857633974334416,101.4823786690753
USMP,5.3577881876433775,100.30403792007677,5.403682253080246,100.3699093812513
UTMJ,1.5658149661504863,103.63956371381234,1.5672348018439477,103.76958360555433
UUMK,6.4621822901816035,100.50633747916098,6.298461048728685,100.20840599345664
VILL,40.44359241821777,-3.9519805583301735,40.4734709782883,-3.9159924360701512
WATP,-0.8735552974682371,119.58705735109946,-0.8600881521804106,119.63342544446435
WUHN,30.531653411798366,114.35726013472473,30.526640676682483,114.41774005446374
YELL,62.480894467921196,-114.48069958781312,62.471080352178895,-114.5128282555394
